msa_code,msa_title,year,strategic_sector,sector_employment,msa_total_employment,strategic_employment_share
C1486,"Bridgeport-Stamford-Danbury, CT MSA",2024,Energy,2049.0,805298.0,0.002544399712901311
C4414,"Springfield, MA MSA",2024,Pharmaceuticals,1986.0,404258.0,0.004912704263119097
C1058,"Albany-Schenectady-Troy, NY MSA",2024,Energy,1620.0,899104.0,0.001801793785813432
C1814,"Columbus, OH MSA",2024,Semiconductors,6256.0,2182019.0,0.002867069443483306
C4090,"Sacramento-Roseville-Folsom, CA MSA",2024,Pharmaceuticals,4688.0,2165532.0,0.0021648260104214574
C2982,"Las Vegas-Henderson-North Las Vegas, NV MSA",2024,Pharmaceuticals,4587.0,2249544.0,0.00203907992019716
C3154,"Madison, WI MSA",2024,Energy,2361.0,814886.0,0.002897337787126052
C1702,"Chico, CA MSA",2024,Semiconductors,164.0,157997.0,0.001037994392298588
C2974,"Las Cruces, NM MSA",2024,Semiconductors,57.0,158818.0,3.589013839741087E-4
C1222,"Auburn-Opelika, AL MSA",2024,Semiconductors,139.0,142940.0,9.72435987127466E-4
C4934,"Worcester, MA MSA",2024,Pharmaceuticals,13888.0,702952.0,0.01975668324437515
C1382,"Birmingham, AL MSA",2024,Semiconductors,1647.0,1032007.0,0.0015959194075233986
C3530,"New Haven, CT MSA",2024,Energy,3484.0,563892.0,0.0061784880792775925
C4470,"Stockton-Lodi, CA MSA",2024,Pharmaceuticals,1774.0,575656.0,0.0030817015717720304
C2306,"Fort Wayne, IN MSA",2024,Semiconductors,5600.0,446274.0,0.01254834473888239
C2982,"Las Vegas-Henderson-North Las Vegas, NV MSA",2024,Energy,7929.0,2249544.0,0.0035247143421066668
C1294,"Baton Rouge, LA MSA",2024,Pharmaceuticals,32890.0,804305.0,0.04089244751680022
C3538,"New Orleans-Metairie, LA MSA",2024,Pharmaceuticals,8006.0,887289.0,0.00902299025458447
C1346,"Bend, OR MSA",2024,Energy,1668.0,216864.0,0.007691456396635679
C4418,"Springfield, MO MSA",2024,Energy,2284.0,439814.0,0.005193104357751231
C1698,"Chicago-Naperville-Elgin, IL-IN MSA",2024,Pharmaceuticals,135730.0,8751762.0,0.015508876955291974
C4162,"Salt Lake City-Murray, UT MSA",2024,Energy,10229.0,1633637.0,0.006261488935424455
C4194,"San Jose-Sunnyvale-Santa Clara, CA MSA",2024,Semiconductors,295344.0,2269225.0,0.1301519241150613
C3674,"Orlando-Kissimmee-Sanford, FL MSA",2024,Energy,14322.0,2792660.0,0.005128443849233348
C2354,"Gainesville, FL MSA",2024,Energy,820.0,303980.0,0.002697545891177051
C2218,"Fayetteville, NC MSA",2024,Energy,694.0,264081.0,0.0026279815662618665
C2870,"Kingsport-Bristol, TN-VA MSA",2024,Semiconductors,0.0,236200.0,0.0
C4162,"Salt Lake City-Murray, UT MSA",2024,Semiconductors,26138.0,1633637.0,0.015999882470830423
C4790,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2024,Semiconductors,27170.0,6307572.0,0.004307521182477188
C4202,"San Luis Obispo-Paso Robles, CA MSA",2024,Semiconductors,548.0,243916.0,0.0022466750848652815
C1766,"Coeur d'Alene, ID MSA",2024,Pharmaceuticals,247.0,142135.0,0.0017377845006507897
C2458,"Green Bay, WI MSA",2024,Pharmaceuticals,1199.0,347403.0,0.0034513231031395816
C4214,"Santa Fe, NM MSA",2024,Energy,652.0,123653.0,0.005272819907321294
C3974,"Reading, PA MSA",2024,Energy,2133.0,347384.0,0.006140179167722175
C3374,"Monroe, LA MSA",2024,Energy,1055.0,174565.0,0.0060435940767049525
C4918,"Winston-Salem, NC MSA",2024,Energy,188.0,541734.0,3.470337841080678E-4
C2454,"Greeley, CO MSA",2024,Energy,3982.0,237654.0,0.016755451202167856
C4582,"Topeka, KS MSA",2024,Semiconductors,114.0,223633.0,5.09763764739551E-4
C4166,"San Angelo, TX MSA",2024,Pharmaceuticals,0.0,101938.0,0.0
C4266,"Seattle-Tacoma-Bellevue, WA MSA",2024,Energy,16697.0,4161787.0,0.0040119785082706055
C1206,"Atlanta-Sandy Springs-Roswell, GA MSA",2024,Pharmaceuticals,25115.0,5749125.0,0.0043684908573043725
C2434,"Grand Rapids-Wyoming-Kentwood, MI MSA",2024,Semiconductors,19775.0,1169020.0,0.016915878257001592
C2934,"Lake Charles, LA MSA",2024,Energy,10178.0,201357.0,0.050547038344830326
C1262,"Bangor, ME MSA",2024,Energy,1403.0,143967.0,0.009745288850917223
C2814,"Kansas City, MO-KS MSA",2024,Semiconductors,15734.0,2174833.0,0.007234578471082607
C2134,"El Paso, TX MSA",2024,Energy,3188.0,670380.0,0.004755511799278022
C4364,"Slidell-Mandeville-Covington, LA MSA",2024,Pharmaceuticals,164.0,193347.0,8.482159019793428E-4
C3966,"Rapid City, SD MSA",2024,Pharmaceuticals,0.0,146781.0,0.0
C2342,"Fresno, CA MSA",2024,Pharmaceuticals,1600.0,967869.0,0.0016531162791658788
C4730,"Visalia, CA MSA",2024,Energy,1773.0,355314.0,0.004989952549012986
C1146,"Ann Arbor, MI MSA",2024,Pharmaceuticals,675.0,435896.0,0.0015485345128195716
C4406,"Spokane-Spokane Valley, WA MSA",2024,Semiconductors,1640.0,509346.0,0.0032198152140195464
C1943,"Dayton-Kettering-Beavercreek, OH MSA",2024,Energy,3110.0,743771.0,0.0041813945421372975
C4364,"Slidell-Mandeville-Covington, LA MSA",2024,Energy,1461.0,193347.0,0.007556362395072073
C4634,"Tyler, TX MSA",2024,Energy,2098.0,227047.0,0.009240377542975683
C1818,"Concord, NH MicroSA",2024,Semiconductors,1114.0,154295.0,0.007219935837194984
C4006,"Richmond, VA MSA",2024,Semiconductors,765.0,1317757.0,5.805319190108647E-4
C1858,"Corpus Christi, TX MSA",2024,Semiconductors,368.0,383059.0,9.606875181107871E-4
C4186,"San Francisco-Oakland-Fremont, CA MSA",2024,Pharmaceuticals,44810.0,4798705.0,0.009337935963973613
C1074,"Albuquerque, NM MSA",2024,Pharmaceuticals,3635.0,807408.0,0.004502060915918594
C4614,"Tulsa, OK MSA",2024,Pharmaceuticals,1291.0,906519.0,0.0014241290033634153
C4142,"Salem, OR MSA",2024,Pharmaceuticals,390.0,386417.0,0.0010092723663813962
C2918,"Lafayette, LA MSA",2024,Semiconductors,1861.0,352842.0,0.00527431541596522
C1374,"Billings, MT MSA",2024,Energy,3059.0,187602.0,0.016305796313472138
C2726,"Jacksonville, FL MSA",2024,Pharmaceuticals,3289.0,1509516.0,0.0021788440798242614
C2554,"Hartford-West Hartford-East Hartford, CT MSA",2024,Pharmaceuticals,7454.0,1192737.0,0.006249491715273359
C1814,"Columbus, OH MSA",2024,Pharmaceuticals,21428.0,2182019.0,0.009820262793312065
C3482,"Myrtle Beach-Conway-North Myrtle Beach, SC MSA",2024,Energy,952.0,288978.0,0.003294368429430614
C4934,"Worcester, MA MSA",2024,Semiconductors,20150.0,702952.0,0.028664830600097873
C3798,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2024,Pharmaceuticals,88626.0,5737381.0,0.01544711777028578
C1262,"Bangor, ME MSA",2024,Pharmaceuticals,60.0,143967.0,4.167621746650274E-4
C2466,"Greensboro-High Point, NC MSA",2024,Energy,1587.0,713995.0,0.002222704640788801
C3046,"Lexington-Fayette, KY MSA",2024,Semiconductors,1575.0,570739.0,0.002759580123313809
C2918,"Lafayette, LA MSA",2024,Energy,1511.0,352842.0,0.0042823700126402185
C3746,"Panama City-Panama City Beach, FL MSA",2024,Semiconductors,0.0,177724.0,0.0
C3958,"Raleigh-Cary, NC MSA",2024,Energy,5745.0,1455810.0,0.003946256723061388
C3366,"Mobile, AL MSA",2024,Pharmaceuticals,6580.0,350653.0,0.0187649898902904
C4202,"San Luis Obispo-Paso Robles, CA MSA",2024,Pharmaceuticals,1047.0,243916.0,0.0042924613391495435
C2026,"Duluth, MN-WI MSA",2024,Pharmaceuticals,240.0,249625.0,9.614421632448673E-4
C4578,"Toledo, OH MSA",2024,Pharmaceuticals,5059.0,577713.0,0.008756943326530648
C3070,"Lincoln, NE MSA",2024,Pharmaceuticals,2433.0,362672.0,0.006708541050866899
C1454,"Bowling Green, KY MSA",2024,Semiconductors,15.0,160789.0,9.328996386568733E-5
C4738,"Waco, TX MSA",2024,Energy,1735.0,259401.0,0.00668848616620599
C1662,"Charleston, WV MSA",2024,Semiconductors,32.0,208581.0,1.5341761713674783E-4
C4730,"Visalia, CA MSA",2024,Pharmaceuticals,577.0,355314.0,0.0016239157477611352
C2242,"Flint, MI MSA",2024,Energy,0.0,267574.0,0.0
C3562,"New York-Newark-Jersey City, NY-NJ MSA",2024,Energy,80471.0,1.89333E7,0.004250236356049922
C4254,"Scranton--Wilkes-Barre, PA MSA",2024,Pharmaceuticals,1212.0,505435.0,0.0023979344525013107
C4390,"Spartanburg, SC MSA",2024,Pharmaceuticals,6486.0,325816.0,0.019906941341125053
C3946,"Punta Gorda, FL MSA",2024,Energy,155.0,112048.0,0.0013833357132657432
C4194,"San Jose-Sunnyvale-Santa Clara, CA MSA",2024,Pharmaceuticals,6952.0,2269225.0,0.003063601009155108
C4470,"Stockton-Lodi, CA MSA",2024,Semiconductors,346.0,575656.0,6.01053406895785E-4
C3650,"Olympia-Lacey-Tumwater, WA MSA",2024,Semiconductors,0.0,257649.0,0.0
C1674,"Charlotte-Concord-Gastonia, NC-SC MSA",2024,Pharmaceuticals,16101.0,2679468.0,0.006009028657927618
C1258,"Baltimore-Columbia-Towson, MD MSA",2024,Pharmaceuticals,6337.0,2585115.0,0.0024513416230999394
C1966,"Deltona-Daytona Beach-Ormond Beach, FL MSA",2024,Energy,1470.0,435018.0,0.0033791705170820516
C2242,"Flint, MI MSA",2024,Pharmaceuticals,264.0,267574.0,9.866429473715682E-4
C3530,"New Haven, CT MSA",2024,Semiconductors,7667.0,563892.0,0.01359657523071794
C3654,"Omaha, NE-IA MSA",2024,Semiconductors,861.0,980950.0,8.777205769916917E-4
C2266,"Fort Collins-Loveland, CO MSA",2024,Energy,3518.0,350529.0,0.010036259482097059
C1741,"Cleveland, OH MSA",2024,Semiconductors,17911.0,2061777.0,0.008687166458836238
C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2024,Energy,12723.0,2190382.0,0.005808575855718317
C3934,"Provo-Orem-Lehi, UT MSA",2024,Semiconductors,7032.0,599391.0,0.011731907886504802
C1454,"Bowling Green, KY MSA",2024,Pharmaceuticals,72.0,160789.0,4.477918265552992E-4
C2554,"Hartford-West Hartford-East Hartford, CT MSA",2024,Energy,3245.0,1192737.0,0.0027206332997131806
C1978,"Des Moines-West Des Moines, IA MSA",2024,Semiconductors,1514.0,808374.0,0.0018728954667022936
C1338,"Bellingham, WA MSA",2024,Semiconductors,451.0,186860.0,0.0024135716579257198
C4090,"Sacramento-Roseville-Folsom, CA MSA",2024,Semiconductors,7842.0,2165532.0,0.0036212810524157576
C1670,"Charleston-North Charleston, SC MSA",2024,Pharmaceuticals,4214.0,773726.0,0.005446372488451984
C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2024,Semiconductors,6090.0,2190382.0,0.002780336945793017
C4222,"Santa Rosa-Petaluma, CA MSA",2024,Pharmaceuticals,1473.0,413697.0,0.003560576943995243
C1966,"Deltona-Daytona Beach-Ormond Beach, FL MSA",2024,Semiconductors,3593.0,435018.0,0.00825942834549375
C2430,"Grand Junction, CO MSA",2024,Semiconductors,144.0,133729.0,0.001076804582401723
C1120,"Amherst Town-Northampton, MA MSA",2024,Semiconductors,0.0,131571.0,0.0
C4862,"Wichita, KS MSA",2024,Semiconductors,4348.0,610088.0,0.007126840718060345
C4334,"Shreveport-Bossier City, LA MSA",2024,Energy,3485.0,322044.0,0.010821502651811553
C2690,"Indianapolis-Carmel-Greenwood, IN MSA",2024,Semiconductors,9550.0,2185837.0,0.004369035751522186
C2134,"El Paso, TX MSA",2024,Pharmaceuticals,0.0,670380.0,0.0
C3584,"North Port-Bradenton-Sarasota, FL MSA",2024,Semiconductors,2596.0,667943.0,0.0038865591824452086
C1294,"Baton Rouge, LA MSA",2024,Semiconductors,458.0,804305.0,5.694357240101703E-4
C2954,"Lancaster, PA MSA",2024,Energy,2166.0,504090.0,0.004296851752663215
C2354,"Gainesville, FL MSA",2024,Pharmaceuticals,542.0,303980.0,0.001783012040265807
C1458,"Bozeman, MT MSA",2024,Energy,280.0,146433.0,0.0019121372914575267
C1943,"Dayton-Kettering-Beavercreek, OH MSA",2024,Semiconductors,6540.0,743771.0,0.00879302903716332
C2802,"Kalamazoo-Portage, MI MSA",2024,Energy,0.0,241415.0,0.0
C1674,"Charlotte-Concord-Gastonia, NC-SC MSA",2024,Semiconductors,3367.0,2679468.0,0.0012565927266158805
C3946,"Punta Gorda, FL MSA",2024,Pharmaceuticals,9.0,112048.0,8.03227188347851E-5
C3958,"Raleigh-Cary, NC MSA",2024,Pharmaceuticals,6501.0,1455810.0,0.004465555257897665
C1598,"Cape Coral-Fort Myers, FL MSA",2024,Energy,2387.0,598565.0,0.003987870991454562
C1630,"Cedar Rapids, IA MSA",2024,Semiconductors,9260.0,276478.0,0.033492719131359455
C1714,"Cincinnati, OH-KY-IN MSA",2024,Energy,14784.0,2180783.0,0.006779216455740897
C4726,"Virginia Beach-Chesapeake-Norfolk, VA-NC MSA",2024,Energy,10734.0,1520611.0,0.007059004571188818
C1662,"Charleston, WV MSA",2024,Pharmaceuticals,2623.0,208581.0,0.012575450304677799
C4254,"Scranton--Wilkes-Barre, PA MSA",2024,Semiconductors,0.0,505435.0,0.0
C1888,"Crestview-Fort Walton Beach-Destin, FL MSA",2024,Semiconductors,319.0,248979.0,0.001281232553749513
C2806,"Kalispell, MT MicroSA",2024,Pharmaceuticals,393.0,101221.0,0.0038825935329625276
C4118,"St. Louis, MO-IL MSA",2024,Pharmaceuticals,32865.0,2639732.0,0.012450127512944496
C2806,"Kalispell, MT MicroSA",2024,Semiconductors,420.0,101221.0,0.0041493366001126245
C4186,"San Francisco-Oakland-Fremont, CA MSA",2024,Energy,52448.0,4798705.0,0.010929615385817631
C1346,"Bend, OR MSA",2024,Pharmaceuticals,798.0,216864.0,0.003679725542275343
C2542,"Harrisburg-Carlisle, PA MSA",2024,Pharmaceuticals,140.0,671732.0,2.0841645179922946E-4
C1782,"Colorado Springs, CO MSA",2024,Energy,9175.0,635913.0,0.014428074280601277
C4038,"Rochester, NY MSA",2024,Pharmaceuticals,6816.0,990889.0,0.006878671576735639
C4378,"South Bend-Mishawaka, IN-MI MSA",2024,Pharmaceuticals,1600.0,260831.0,0.006134240178506389
C4530,"Tampa-St. Petersburg-Clearwater, FL MSA",2024,Pharmaceuticals,21188.0,2866154.0,0.0073924848420566375
